age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,__target__
25.0,Private,226802.0,11th,,Never-married,Machine-op-inspct,Own-child,,Male,0.0,0.0,40.0,United-States,0.0
,Private,,HS-grad,9.0,Married-civ-spouse,Farming-fishing,Husband,White,Male,,0.0,,,0.0
28.0,Local-gov,336951.0,Assoc-acdm,12.0,,,Husband,,Male,0.0,0.0,40.0,United-States,1.0
44.0,Private,,Some-college,,,,Husband,Black,Male,7688.0,0.0,40.0,,
34.0,Private,198693.0,10th,6.0,Never-married,Other-service,Not-in-family,,Male,,0.0,30.0,,
,,104626.0,Prof-school,15.0,Married-civ-spouse,Prof-specialty,Husband,,,,0.0,32.0,,1.0
,Private,369667.0,Some-college,10.0,Never-married,Other-service,,,Female,0.0,0.0,,United-States,0.0
55.0,Private,,,4.0,Married-civ-spouse,,Husband,White,,0.0,0.0,10.0,United-States,0.0
65.0,Private,,HS-grad,,Married-civ-spouse,Machine-op-inspct,,,Male,,0.0,40.0,United-States,1.0
,Federal-gov,212465.0,Bachelors,,Married-civ-spouse,Adm-clerical,Husband,White,Male,,0.0,40.0,United-States,
26.0,Private,,HS-grad,,Never-married,,Not-in-family,White,Female,,0.0,,,0.0
48.0,Private,279724.0,HS-grad,9.0,,Machine-op-inspct,,White,,,0.0,48.0,United-States,1.0
43.0,Private,346189.0,Masters,14.0,Married-civ-spouse,Exec-managerial,,White,,0.0,,,United-States,
,State-gov,444554.0,,10.0,Never-married,Other-service,Own-child,,,,,25.0,,0.0
43.0,Private,,HS-grad,9.0,Married-civ-spouse,,,White,Female,0.0,0.0,30.0,United-States,
37.0,,60548.0,HS-grad,,,Machine-op-inspct,Unmarried,White,Female,0.0,0.0,20.0,,
34.0,Private,,Bachelors,13.0,Married-civ-spouse,Tech-support,Husband,White,Male,0.0,0.0,47.0,,
34.0,Private,,,10.0,,Other-service,Own-child,,Female,,,,,
,,,Bachelors,13.0,Never-married,Prof-specialty,Not-in-family,White,Male,,,,,0.0
25.0,,205947.0,Bachelors,,Married-civ-spouse,,Husband,,Male,0.0,0.0,40.0,United-States,0.0
45.0,,432824.0,HS-grad,9.0,Married-civ-spouse,Craft-repair,Husband,,,7298.0,0.0,,United-States,1.0
22.0,Private,236427.0,,9.0,Never-married,Adm-clerical,Own-child,White,Male,0.0,0.0,20.0,United-States,
23.0,,134446.0,HS-grad,,Separated,,Unmarried,,Male,,0.0,54.0,United-States,0.0
54.0,Private,,HS-grad,,Married-civ-spouse,,Husband,White,Male,0.0,0.0,35.0,United-States,0.0
32.0,,,,10.0,Never-married,Prof-specialty,Not-in-family,White,Male,0.0,,60.0,United-States,
,State-gov,106444.0,Some-college,10.0,Married-civ-spouse,Exec-managerial,Husband,Black,Male,7688.0,0.0,38.0,,1.0
56.0,,186651.0,11th,,Widowed,Other-service,,White,Female,0.0,0.0,50.0,,0.0
24.0,,188274.0,,13.0,Never-married,Sales,,White,,,,50.0,,0.0
23.0,,,,10.0,Married-civ-spouse,,Husband,,Male,0.0,0.0,40.0,United-States,
