MedInc,HouseAge,AveRooms,AveBedrms,Population,AveOccup,Latitude,Longitude,__target__
8.3252,41.0,6.984126984126984,1.0238095238095237,,2.5555555555555554,37.88,-122.23,
8.3014,21.0,6.238137082601054,0.9718804920913884,2401.0,2.109841827768014,,-122.22,
7.2574,52.0,8.288135593220339,1.073446327683616,496.0,2.8022598870056497,37.85,,3.521
,,5.8173515981735155,1.0730593607305936,558.0,2.547945205479452,37.85,-122.25,
,52.0,,1.0810810810810811,565.0,2.1814671814671813,37.85,-122.25,3.422
4.0368,52.0,4.761658031088083,1.1036269430051813,,,,-122.25,2.697
3.6591,52.0,4.9319066147859925,0.9513618677042801,,,37.84,-122.25,2.992
3.12,52.0,4.797527047913447,1.061823802163833,1157.0,,37.84,,2.414
2.0804,,,,1206.0,2.026890756302521,37.84,-122.26,2.267
3.6912,52.0,,,,2.172268907563025,37.84,,2.611
,52.0,5.477611940298507,1.0796019900497513,910.0,2.263681592039801,37.85,,
3.2705,52.0,4.772479564032698,,1504.0,2.0490463215258856,37.85,-122.26,
,52.0,5.322649572649572,,1098.0,2.3461538461538463,,-122.26,2.135
2.6736,52.0,4.0,1.0977011494252873,345.0,,37.84,,1.913
1.9167,,,1.0096774193548388,,1.9548387096774194,37.85,-122.26,1.592
,50.0,4.242424242424242,1.071969696969697,,2.640151515151515,37.85,-122.26,1.4
2.775,52.0,5.9395770392749245,1.0483383685800605,793.0,,37.85,-122.27,
2.1202,,4.052805280528053,0.966996699669967,648.0,2.1386138613861387,37.85,,1.555
,,5.343675417661098,1.0859188544152745,990.0,2.3627684964200477,37.84,-122.26,1.587
2.6033,,5.465454545454546,,,2.5090909090909093,37.84,-122.27,1.629
1.3578,40.0,4.524096385542169,1.108433734939759,409.0,2.463855421686747,37.85,,1.475
,42.0,,,929.0,,,-122.27,1.598
,52.0,5.096234309623431,1.1317991631799162,1015.0,,,,
2.1806,,5.193846153846154,1.0369230769230768,853.0,,37.84,-122.27,0.997
,,5.270142180094787,1.0355450236966826,1006.0,2.3838862559241707,37.84,-122.27,1.326
2.4038,,4.495798319327731,1.0336134453781514,,,37.85,-122.28,1.075
2.4597,49.0,4.7280334728033475,1.0209205020920502,,,37.85,-122.28,
1.808,52.0,4.7808564231738035,1.0604534005037782,1102.0,2.7758186397984885,37.85,-122.28,1.055
1.6424,,,1.040169133192389,1131.0,,,-122.28,
1.6875,52.0,,1.032258064516129,,2.5483870967741935,,,
,,,1.1825396825396826,863.0,2.2830687830687832,37.84,-122.28,1.223
1.9615,,,,,2.6485260770975056,37.84,,1.152
1.7969,,5.737313432835821,,1026.0,,37.84,-122.27,1.104
1.375,49.0,5.0303951367781155,1.1124620060790273,,2.291793313069909,37.83,-122.27,1.049
2.7303,51.0,,,1258.0,2.3470149253731343,,-122.27,1.097
1.4861,49.0,4.6022727272727275,1.0681818181818181,570.0,2.159090909090909,37.83,-122.27,0.972
1.0972,48.0,4.807486631016043,1.1550802139037433,987.0,2.6390374331550803,37.83,,1.045
1.4103,,3.7493796526054592,,901.0,,37.83,,1.039
3.48,52.0,4.757281553398058,1.0679611650485437,689.0,,37.83,,1.914
,52.0,3.4942528735632186,1.0272988505747127,1377.0,1.978448275862069,37.83,-122.26,1.76
2.0978,,,,946.0,2.3949367088607594,37.83,-122.26,1.554
1.2852,51.0,3.7590361445783134,1.248995983935743,517.0,,,-122.26,1.5
1.025,49.0,3.7724867724867726,1.0687830687830688,462.0,2.4444444444444446,37.84,-122.26,1.188
3.9643,,4.797979797979798,1.02020202020202,,2.3585858585858586,37.84,,1.888
3.0125,52.0,4.941780821917808,1.0650684931506849,660.0,2.26027397260274,37.83,,1.844
2.6768,52.0,4.335078534031414,,718.0,1.8795811518324608,37.83,,1.823
,,,1.0592105263157894,,2.026315789473684,37.83,,
,43.0,3.9802371541501977,,558.0,,37.82,-122.27,1.375
0.9506,40.0,,,,2.64375,37.82,-122.26,1.875
,40.0,,1.0653409090909092,700.0,1.9886363636363635,37.82,,1.125
,21.0,2.045662100456621,,,,37.82,-122.27,1.719
1.5045,43.0,,1.1203931203931203,1061.0,2.6068796068796067,37.82,-122.27,0.938
,41.0,4.473611111111111,1.1847222222222222,,,,,0.975
1.2475,52.0,4.075,1.14,,2.905,37.82,,1.042
1.6098,,5.021459227467811,1.0085836909871244,701.0,3.0085836909871246,37.82,-122.28,0.875
1.4113,52.0,4.295454545454546,1.1045454545454545,576.0,2.618181818181818,37.82,-122.28,0.831
1.5057,52.0,4.77992277992278,1.111969111969112,622.0,,,-122.28,
0.8172,52.0,,1.3729508196721312,728.0,,37.82,-122.28,0.853
,52.0,,1.1217105263157894,1074.0,3.5328947368421053,37.82,-122.28,0.803
2.5625,2.0,2.7719298245614037,,,1.6491228070175439,,,0.6
3.3929,52.0,5.994652406417113,1.1283422459893049,,2.962566844919786,37.83,,0.757
6.1183,49.0,,,86.0,,,-122.29,0.75
0.9011,50.0,,,377.0,3.0901639344262297,37.81,-122.29,0.861
,52.0,7.69811320754717,1.490566037735849,521.0,3.2767295597484276,37.81,-122.3,0.761
2.5938,48.0,6.225563909774436,1.368421052631579,392.0,2.9473684210526314,,-122.3,0.735
1.1667,,5.401069518716578,,,3.229946524064171,37.81,-122.3,0.784
,48.0,4.382530120481928,1.0662650602409638,788.0,2.3734939759036147,37.81,-122.3,0.844
2.6094,52.0,6.98639455782313,1.6598639455782314,,3.3469387755102042,37.8,-122.29,0.813
1.8516,52.0,6.975609756097561,1.329268292682927,274.0,3.341463414634146,,,0.85
0.9802,46.0,4.584288052373159,1.0540098199672667,1823.0,2.983633387888707,,-122.29,1.292
1.7719,26.0,,1.1968503937007875,,,37.81,-122.29,0.825
0.7286,46.0,3.375451263537906,,,2.101083032490975,37.81,,0.952
1.75,,5.552631578947368,1.3421052631578947,560.0,,37.81,-122.29,0.75
0.4999,46.0,1.7142857142857142,0.5714285714285714,18.0,,,-122.29,0.675
2.483,20.0,6.2781954887218046,1.2105263157894737,,2.180451127819549,37.81,-122.29,1.375
0.9241,17.0,2.8177676537585423,,762.0,,,,1.775
2.4464,36.0,5.724950884086444,1.1041257367387034,1236.0,2.4282907662082516,,-122.28,
1.1111,19.0,5.830917874396135,1.173913043478261,721.0,3.4830917874396135,37.81,,1.083
,23.0,5.369230769230769,1.1507692307692308,1054.0,3.243076923076923,37.81,-122.29,1.125
2.0114,38.0,4.412903225806452,1.135483870967742,,2.2193548387096773,,-122.28,1.313
1.5,17.0,,1.0,,,,,1.625
1.1667,52.0,,,183.0,,37.81,,1.125
1.5208,52.0,,,200.0,,37.81,-122.28,1.125
0.8075,52.0,2.490322580645161,1.0580645161290323,346.0,,37.81,-122.28,
1.8088,35.0,,1.0887573964497042,467.0,,,,1.188
,,,,377.0,,37.81,-122.28,0.982
,40.0,2.3157894736842106,,582.0,1.5315789473684212,,-122.27,1.188
0.76,10.0,2.6515151515151514,1.0545454545454545,546.0,1.6545454545454545,37.81,,1.625
0.9722,,,1.0769230769230769,,,37.8,-122.27,1.375
1.2434,52.0,2.929411764705882,,,4.658823529411765,,-122.27,5.00001
,,2.74585635359116,1.0828729281767955,,2.2099447513812156,37.8,-122.27,1.625
0.8668,,2.4431818181818183,0.9886363636363636,904.0,10.272727272727273,,-122.28,
0.75,52.0,2.823529411764706,0.9117647058823529,191.0,5.617647058823529,37.8,-122.28,1.625
2.6354,27.0,3.493377483443709,,718.0,2.377483443708609,37.79,,1.875
1.8477,39.0,,1.3340471092077089,,,37.8,-122.27,
2.0096,36.0,2.294016358157555,,3469.0,1.493327593628928,37.8,-122.26,1.3
,31.0,3.8949152542372882,1.1279661016949152,,,37.82,,1.838
2.0062,29.0,3.681318681318681,1.1758241758241759,202.0,2.21978021978022,37.81,-122.26,1.25
1.2185,22.0,,1.016,2024.0,,,-122.26,1.7
2.6104,,,1.1071428571428572,1838.0,,,,1.931
2.4912,,,1.1312,2304.0,1.8432,37.81,,
,28.0,3.8784235136940546,1.070808283233133,2563.0,1.7120908483633934,37.81,,
