MedInc,HouseAge,AveRooms,AveBedrms,Population,AveOccup,Latitude,Longitude,__target__
8.3252,,,,322.0,2.5555555555555554,37.88,-122.23,4.526
8.3014,21.0,,0.9718804920913884,,2.109841827768014,,-122.22,3.585
,52.0,,,496.0,2.8022598870056497,37.85,-122.24,3.521
5.6431,52.0,5.8173515981735155,1.0730593607305936,558.0,,37.85,-122.25,3.413
3.8462,52.0,6.281853281853282,1.0810810810810811,565.0,2.1814671814671813,37.85,-122.25,3.422
4.0368,,4.761658031088083,,413.0,2.139896373056995,,-122.25,
3.6591,,4.9319066147859925,0.9513618677042801,,,37.84,,
3.12,,4.797527047913447,,1157.0,1.7882534775888717,,-122.25,2.414
2.0804,42.0,4.294117647058823,1.1176470588235294,1206.0,2.026890756302521,37.84,-122.26,2.267
3.6912,52.0,4.970588235294118,0.9901960784313726,1551.0,2.172268907563025,37.84,,2.611
3.2031,52.0,,1.0796019900497513,910.0,2.263681592039801,,-122.26,2.815
3.2705,52.0,,1.0245231607629428,1504.0,,37.85,-122.26,2.418
,52.0,5.322649572649572,,1098.0,,37.85,-122.26,2.135
,52.0,,1.0977011494252873,345.0,1.9827586206896552,37.84,,
1.9167,,,,1212.0,1.9548387096774194,37.85,-122.26,
2.125,50.0,4.242424242424242,1.071969696969697,697.0,2.640151515151515,37.85,-122.26,
2.775,52.0,,1.0483383685800605,793.0,2.395770392749245,,-122.27,
2.1202,,4.052805280528053,0.966996699669967,,2.1386138613861387,,-122.27,1.555
1.9911,50.0,5.343675417661098,1.0859188544152745,,2.3627684964200477,37.84,-122.26,1.587
2.6033,52.0,,1.0836363636363637,690.0,2.5090909090909093,37.84,-122.27,1.629
1.3578,,,1.108433734939759,409.0,,37.85,-122.27,1.475
1.7135,,4.478142076502732,1.0027322404371584,,2.5382513661202184,37.85,,1.598
1.725,52.0,5.096234309623431,,1015.0,,37.84,-122.27,1.139
,52.0,5.193846153846154,,853.0,,37.84,,0.997
2.6,52.0,5.270142180094787,1.0355450236966826,1006.0,,,,1.326
2.4038,41.0,,1.0336134453781514,317.0,2.6638655462184873,37.85,-122.28,1.075
,49.0,,1.0209205020920502,607.0,2.5397489539748954,,-122.28,0.938
1.808,52.0,4.7808564231738035,1.0604534005037782,1102.0,,37.85,-122.28,1.055
1.6424,50.0,4.40169133192389,1.040169133192389,1131.0,,37.84,-122.28,1.089
1.6875,52.0,,1.032258064516129,395.0,2.5483870967741935,,-122.28,
1.9274,49.0,,1.1825396825396826,863.0,2.2830687830687832,37.84,-122.28,1.223
1.9615,52.0,4.882086167800454,1.090702947845805,1168.0,2.6485260770975056,37.84,,1.152
1.7969,,5.737313432835821,,1026.0,3.062686567164179,37.84,-122.27,
1.375,49.0,5.0303951367781155,1.1124620060790273,754.0,,37.83,-122.27,1.049
2.7303,51.0,4.972014925373134,1.0708955223880596,,2.3470149253731343,37.83,-122.27,1.097
,49.0,,,570.0,2.159090909090909,37.83,-122.27,
1.0972,48.0,,1.1550802139037433,987.0,2.6390374331550803,37.83,,1.045
,,3.7493796526054592,0.967741935483871,901.0,,37.83,,1.039
3.48,52.0,4.757281553398058,,,2.2297734627831716,37.83,-122.26,1.914
,52.0,3.4942528735632186,,1377.0,1.978448275862069,37.83,-122.26,
2.0978,52.0,4.215189873417722,,,,37.83,,1.554
,51.0,3.7590361445783134,,517.0,2.076305220883534,37.83,,1.5
1.025,49.0,,,462.0,,37.84,-122.26,1.188
3.9643,52.0,4.797979797979798,1.02020202020202,467.0,2.3585858585858586,37.84,-122.26,
3.0125,,4.941780821917808,1.0650684931506849,,2.26027397260274,,,1.844
2.6768,,4.335078534031414,,718.0,1.8795811518324608,37.83,-122.26,1.823
2.026,50.0,3.700657894736842,1.0592105263157894,616.0,2.026315789473684,37.83,,1.425
,43.0,3.9802371541501977,1.233201581027668,558.0,,37.82,-122.27,1.375
0.9506,40.0,3.9,1.21875,423.0,,,-122.26,1.875
,40.0,2.6875,1.0653409090909092,700.0,1.9886363636363635,37.82,,
0.9218,21.0,2.045662100456621,1.0342465753424657,735.0,1.678082191780822,37.82,-122.27,
1.5045,43.0,,,1061.0,2.6068796068796067,37.82,,
1.1108,41.0,,,1959.0,,,-122.27,0.975
1.2475,,,1.14,1162.0,2.905,37.82,-122.27,1.042
1.6098,52.0,5.021459227467811,1.0085836909871244,701.0,3.0085836909871246,37.82,-122.28,0.875
1.4113,52.0,4.295454545454546,1.1045454545454545,576.0,,37.82,-122.28,
,52.0,,1.111969111969112,622.0,2.4015444015444016,37.82,-122.28,0.875
0.8172,,6.102459016393443,1.3729508196721312,728.0,2.9836065573770494,,,0.853
,,4.5625,1.1217105263157894,1074.0,3.5328947368421053,37.82,-122.28,0.803
2.5625,2.0,,,,1.6491228070175439,37.82,,0.6
3.3929,52.0,5.994652406417113,1.1283422459893049,554.0,,,-122.29,0.757
6.1183,49.0,5.869565217391305,1.2608695652173914,,3.739130434782609,,-122.29,
0.9011,50.0,6.229508196721311,1.5573770491803278,,,,,0.861
,52.0,,1.490566037735849,521.0,,37.81,,
2.5938,48.0,6.225563909774436,1.368421052631579,392.0,2.9473684210526314,,-122.3,0.735
1.1667,52.0,,,604.0,3.229946524064171,37.81,-122.3,0.784
0.8056,48.0,4.382530120481928,1.0662650602409638,788.0,,,-122.3,0.844
2.6094,52.0,6.98639455782313,,492.0,,,-122.29,0.813
,52.0,6.975609756097561,1.329268292682927,274.0,,,-122.3,0.85
0.9802,,4.584288052373159,1.0540098199672667,,2.983633387888707,37.81,-122.29,1.292
,26.0,,,,3.0866141732283463,37.81,-122.29,
0.7286,,,1.0722021660649819,582.0,2.101083032490975,37.81,-122.29,
1.75,49.0,5.552631578947368,1.3421052631578947,560.0,,37.81,-122.29,
,,1.7142857142857142,0.5714285714285714,,2.5714285714285716,37.81,,0.675
2.483,,,1.2105263157894737,290.0,2.180451127819549,37.81,,
,17.0,,1.0523917995444192,762.0,1.7357630979498861,,-122.28,1.775
,,5.724950884086444,1.1041257367387034,1236.0,2.4282907662082516,,,1.021
1.1111,19.0,,1.173913043478261,721.0,3.4830917874396135,37.81,-122.28,
0.8026,23.0,5.369230769230769,,1054.0,,37.81,-122.29,1.125
2.0114,38.0,4.412903225806452,1.135483870967742,344.0,2.2193548387096773,37.8,-122.28,
,17.0,,1.0,,2.1072664359861593,37.81,,1.625
1.1667,52.0,3.75,1.0,183.0,3.267857142857143,37.81,-122.27,1.125
,52.0,,1.1149425287356323,200.0,,,-122.28,1.125
,52.0,,,346.0,2.232258064516129,37.81,,1.375
1.8088,35.0,5.609467455621302,1.0887573964497042,467.0,,37.81,-122.28,
2.4083,,6.721739130434782,1.2434782608695651,,,37.81,-122.28,0.982
0.977,,2.3157894736842106,,,,37.81,,1.188
,,2.6515151515151514,1.0545454545454545,546.0,1.6545454545454545,,-122.27,1.625
,10.0,2.6923076923076925,1.0769230769230769,,3.2051282051282053,37.8,-122.27,1.375
1.2434,,2.929411764705882,0.9176470588235294,,4.658823529411765,37.8,-122.27,5.00001
,16.0,2.74585635359116,,800.0,2.2099447513812156,37.8,-122.27,1.625
0.8668,52.0,2.4431818181818183,,904.0,10.272727272727273,,,
0.75,52.0,2.823529411764706,0.9117647058823529,,,,-122.28,
2.6354,,3.493377483443709,1.1490066225165563,718.0,,37.79,,1.875
1.8477,39.0,3.6723768736616704,1.3340471092077089,,2.841541755888651,37.8,-122.27,1.792
,36.0,2.294016358157555,1.066293585880327,,,37.8,-122.26,
2.8345,31.0,3.8949152542372882,1.1279661016949152,2048.0,1.735593220338983,37.82,-122.26,
,29.0,3.681318681318681,1.1758241758241759,202.0,2.21978021978022,37.81,-122.26,1.25
1.2185,22.0,2.9456,1.016,2024.0,1.6192,37.82,-122.26,1.7
,37.0,,1.1071428571428572,1838.0,,37.82,-122.26,1.931
2.4912,29.0,3.7248,1.1312,2304.0,1.8432,37.81,,2.578
,28.0,3.8784235136940546,1.070808283233133,,1.7120908483633934,37.81,-122.25,2.734
3.125,,3.745614035087719,,389.0,1.706140350877193,,,2.375
2.5795,52.0,3.5154975530179446,,895.0,1.4600326264274062,37.81,-122.25,
,,3.281721632196758,1.0698714365567357,2689.0,1.5030743432084963,,,3.357
4.9306,52.0,6.184426229508197,0.9221311475409836,,2.762295081967213,,-122.24,3.134
3.2727,52.0,4.442982456140351,,709.0,1.5548245614035088,37.81,-122.24,2.685
3.1691,,4.165876777251185,,686.0,1.6255924170616114,37.81,-122.25,
3.9,52.0,4.848189415041783,1.0459610027855153,1444.0,2.011142061281337,37.82,-122.24,2.757
3.9063,28.0,,,1520.0,,,-122.25,2.25
5.0917,52.0,5.628458498023716,,550.0,2.1739130434782608,,-122.25,
2.6429,,3.7270058708414875,1.0743639921722115,1806.0,1.7671232876712328,37.82,,
,,,,1749.0,,,-122.25,
,52.0,4.578034682080925,1.0770712909441233,939.0,,37.83,-122.25,2.241
,,3.822274881516588,1.014218009478673,675.0,1.599526066350711,37.83,-122.25,2.431
,52.0,4.3951890034364265,0.9862542955326461,534.0,,,,2.316
2.4234,28.0,3.0234798314268514,1.053582179409994,,,37.83,-122.25,
3.0897,52.0,4.040501446480231,,1786.0,,37.83,,
5.8596,50.0,6.742627345844504,1.0697050938337802,970.0,2.6005361930294906,37.84,-122.23,
5.2868,47.0,,0.9360824742268041,1098.0,2.263917525773196,,,3.476
5.956,,6.851063829787234,1.0797872340425532,794.0,2.1117021276595747,37.83,-122.24,3.661
4.9643,37.0,7.1063829787234045,,98.0,,,,3.35
6.3434,52.0,,1.0198511166253101,,,37.85,,
5.1773,,,1.0342342342342343,1177.0,2.120720720720721,37.84,,
,52.0,7.11716621253406,0.9945504087193461,901.0,2.455040871934605,37.85,-122.24,3.911
5.457,28.0,5.5303347280334725,,2031.0,2.1244769874476988,37.85,-122.22,3.373
7.5,,6.127348643006263,,1031.0,2.152400835073069,,,2.952
6.0194,44.0,5.735343383584589,1.0,1358.0,,37.84,-122.21,
7.5544,40.0,7.631498470948012,,,2.470948012232416,37.83,,4.115
6.0666,,6.446064139941691,1.0087463556851313,844.0,,37.84,-122.2,3.115
7.0548,34.0,6.125,0.9879032258064516,1140.0,2.2983870967741935,37.84,,
11.6017,18.0,,,533.0,2.747422680412371,,-122.19,3.926
7.4882,35.0,,1.0383747178329572,,2.419864559819413,37.84,,3.193
,34.0,,1.0287206266318538,1627.0,2.1240208877284594,37.83,-122.21,3.333
8.2049,,,,463.0,2.4368421052631577,37.83,-122.19,
8.401,26.0,7.530805687203792,1.0568720379146919,,,37.83,-122.2,
6.8538,29.0,6.657992565055762,1.0074349442379182,661.0,2.45724907063197,37.83,,3.689
8.317,32.0,6.977186311787072,1.0038022813688212,,,,-122.19,3.659
7.0175,37.0,6.982954545454546,1.0284090909090908,,2.3863636363636362,,,
,39.0,,1.068,,2.53,37.82,-122.2,3.628
