MedInc,HouseAge,AveRooms,AveBedrms,Population,AveOccup,Latitude,Longitude,__target__
8.3252,,6.984126984126984,1.0238095238095237,,,37.88,-122.23,
,21.0,,0.9718804920913884,,,37.86,-122.22,
,52.0,8.288135593220339,,496.0,,37.85,-122.24,3.521
,52.0,,,558.0,2.547945205479452,,,3.413
3.8462,,6.281853281853282,1.0810810810810811,565.0,,,-122.25,3.422
4.0368,52.0,4.761658031088083,1.1036269430051813,,2.139896373056995,37.85,,2.697
3.6591,52.0,4.9319066147859925,0.9513618677042801,1094.0,2.1284046692607004,,,2.992
3.12,,4.797527047913447,,1157.0,1.7882534775888717,,-122.25,2.414
2.0804,42.0,4.294117647058823,1.1176470588235294,1206.0,2.026890756302521,,-122.26,2.267
3.6912,52.0,4.970588235294118,0.9901960784313726,1551.0,,37.84,,2.611
3.2031,,5.477611940298507,,910.0,2.263681592039801,37.85,,
,,4.772479564032698,1.0245231607629428,,2.0490463215258856,37.85,-122.26,2.418
3.075,52.0,5.322649572649572,1.0128205128205128,,2.3461538461538463,37.85,-122.26,2.135
,,,1.0977011494252873,345.0,1.9827586206896552,,-122.26,
1.9167,52.0,4.262903225806451,,,1.9548387096774194,37.85,-122.26,1.592
,,,,,2.640151515151515,37.85,-122.26,1.4
2.775,,5.9395770392749245,1.0483383685800605,,2.395770392749245,37.85,,1.525
2.1202,,4.052805280528053,0.966996699669967,,2.1386138613861387,37.85,,1.555
,50.0,5.343675417661098,,990.0,2.3627684964200477,,-122.26,1.587
2.6033,,5.465454545454546,,690.0,2.5090909090909093,37.84,-122.27,1.629
,,4.524096385542169,,,2.463855421686747,37.85,,1.475
,42.0,,1.0027322404371584,929.0,,37.85,-122.27,1.598
1.725,,5.096234309623431,1.1317991631799162,1015.0,2.1234309623430963,37.84,,1.139
2.1806,,5.193846153846154,1.0369230769230768,853.0,2.624615384615385,37.84,,0.997
2.6,52.0,5.270142180094787,,1006.0,2.3838862559241707,37.84,-122.27,1.326
2.4038,41.0,4.495798319327731,,317.0,2.6638655462184873,37.85,,1.075
2.4597,49.0,4.7280334728033475,1.0209205020920502,607.0,2.5397489539748954,,,0.938
1.808,52.0,4.7808564231738035,,1102.0,2.7758186397984885,37.85,,1.055
1.6424,50.0,4.40169133192389,,,2.3911205073995774,37.84,,1.089
