alcohol,malic_acid,ash,alcalinity_of_ash,magnesium,total_phenols,flavanoids,nonflavanoid_phenols,proanthocyanins,color_intensity,hue,od280/od315_of_diluted_wines,proline,__target__
14.23,,,,127.0,2.8,3.06,0.28,2.29,5.64,1.04,,1065.0,
13.2,,2.14,11.2,,2.65,,,1.28,4.38,1.05,3.4,1050.0,0.0
13.16,2.36,2.67,18.6,,2.8,3.24,0.3,2.81,5.68,1.03,3.17,1185.0,0.0
14.37,1.95,2.5,16.8,,3.85,,0.24,2.18,,0.86,,1480.0,
13.24,2.59,,,118.0,,,0.39,,4.32,,2.93,735.0,
14.2,1.76,2.45,15.2,112.0,3.27,3.39,0.34,1.97,6.75,1.05,2.85,1450.0,0.0
14.39,1.87,2.45,14.6,,2.5,2.52,0.3,,5.25,1.02,3.58,,0.0
14.06,2.15,2.61,,121.0,2.6,,0.31,1.25,5.05,,3.58,1295.0,
14.83,,2.17,14.0,97.0,,2.98,,1.98,5.2,1.08,2.85,,
13.86,,,,98.0,2.98,3.15,0.22,,7.22,1.01,3.55,1045.0,0.0
14.1,2.16,2.3,,105.0,2.95,,0.22,2.38,5.75,,3.17,,0.0
,1.48,2.32,,95.0,,2.43,0.26,1.57,5.0,1.17,2.82,,0.0
13.75,1.73,2.41,16.0,89.0,,2.76,0.29,1.81,5.6,1.15,2.9,1320.0,
,1.73,2.39,,91.0,3.1,3.69,0.43,,5.4,1.25,,1150.0,0.0
,1.87,2.38,12.0,102.0,,3.64,,2.96,7.5,1.2,,1547.0,0.0
,1.81,,17.2,,2.85,2.91,0.3,1.46,7.3,1.28,,,
14.3,1.92,2.72,,120.0,2.8,3.14,0.33,1.97,6.2,,2.65,,0.0
13.83,1.57,,20.0,115.0,2.95,3.4,0.4,1.72,6.6,,2.57,1130.0,0.0
14.19,1.59,2.48,16.5,108.0,,3.93,0.32,1.86,8.7,1.23,,1680.0,0.0
13.64,,2.56,,116.0,2.7,,0.17,1.66,5.1,0.96,3.36,845.0,0.0
14.06,1.63,2.28,16.0,126.0,3.0,,0.24,2.1,,1.09,,780.0,0.0
